"","monthdth","age","fips","sex","deaths","year"
"1",5,NA,"42045",2,1,2007
"2",7,NA,"37119",2,1,2007
"3",3,NA,"36119",2,1,2007
"4",1,NA,"35061",2,1,2007
"5",12,NA,"34013",2,1,2007
"6",3,NA,"34001",2,1,2007
"7",2,NA,"18087",2,1,2007
"8",5,NA,"17031",2,1,2007
"9",4,NA,"13121",2,1,2007
"10",11,NA,"12086",2,1,2007
"11",2,NA,"09009",2,1,2007
"12",12,NA,"06073",2,1,2007
"13",10,NA,"06037",2,1,2007
"14",9,NA,"06037",2,1,2007
"15",7,NA,"06037",2,2,2007
"16",6,NA,"06037",2,1,2007
"17",8,NA,"04027",2,1,2007
"18",10,NA,"04025",2,1,2007
"19",10,NA,"04013",2,1,2007
"20",4,NA,"04003",2,1,2007
"21",4,NA,"53053",1,1,2007
"22",7,NA,"51059",1,1,2007
"23",9,NA,"48339",1,1,2007
"24",9,NA,"48215",1,1,2007
"25",4,NA,"48111",1,1,2007
"26",2,NA,"48085",1,2,2007
"27",7,NA,"48083",1,1,2007
"28",9,NA,"48061",1,1,2007
"29",12,NA,"48055",1,1,2007
"30",1,NA,"47037",1,1,2007
"31",4,NA,"45059",1,1,2007
"32",8,NA,"45045",1,1,2007
"33",7,NA,"45045",1,1,2007
"34",7,NA,"42101",1,1,2007
"35",4,NA,"42101",1,1,2007
"36",3,NA,"42101",1,1,2007
"37",11,NA,"42045",1,2,2007
"38",3,NA,"41051",1,1,2007
"39",4,NA,"41035",1,1,2007
"40",11,NA,"37051",1,1,2007
"41",7,NA,"36105",1,1,2007
"42",1,NA,"35055",1,1,2007
"43",11,NA,"31109",1,1,2007
"44",6,NA,"29510",1,1,2007
"45",8,NA,"29095",1,1,2007
"46",3,NA,"29095",1,1,2007
"47",1,NA,"29095",1,1,2007
"48",7,NA,"28135",1,1,2007
"49",11,NA,"28061",1,1,2007
"50",7,NA,"28049",1,1,2007
"51",10,NA,"28047",1,1,2007
"52",9,NA,"28047",1,1,2007
"53",1,NA,"28047",1,1,2007
"54",2,NA,"28035",1,1,2007
"55",4,NA,"25025",1,1,2007
"56",7,NA,"24005",1,1,2007
"57",1,NA,"22071",1,1,2007
"58",7,NA,"19153",1,1,2007
"59",1,NA,"18113",1,1,2007
"60",7,NA,"18089",1,1,2007
"61",1,NA,"17187",1,1,2007
"62",12,NA,"17031",1,1,2007
"63",9,NA,"17031",1,1,2007
"64",6,NA,"17031",1,2,2007
"65",12,NA,"12117",1,1,2007
